ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
37;0.9;0.3;0.4000000000000001;[1.0, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001]
38;0.9;0.4;0.4000000000000001;[0.09999999999999998, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001]
39;0.9;0.5;0.4000000000000001;[0.09999999999999998, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
40;0.8;0.3;0.4000000000000001;[0.09999999999999998, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001]
41;0.8;0.4;0.4000000000000001;[0.19999999999999996, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001]
42;0.8;0.5;0.4000000000000001;[0.19999999999999996, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
43;0.7000000000000001;0.3;0.4000000000000001;[0.19999999999999996, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001]
44;0.7000000000000001;0.4;0.4000000000000001;[0.29999999999999993, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001]
45;0.7000000000000001;0.5;0.3;[0.29999999999999993, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.3]
46;0.6000000000000001;0.3;0.4000000000000001;[0.29999999999999993, 0.7999999999999999, 0.6, 0.6, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
47;0.6000000000000001;0.4;0.4000000000000001;[0.3999999999999999, 0.7999999999999999, 0.6, 0.6, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
48;0.6000000000000001;0.5;0.4000000000000001;[0.3999999999999999, 0.7999999999999999, 0.6, 0.6, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
49;0.9;0.3;0.45;[1.0, 0.6, 0.45, 0.6, 0.45, 0.45, 0.45, 0.45]
50;0.9;0.4;0.4000000000000001;[0.09999999999999998, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
51;0.9;0.5;0.4000000000000001;[0.09999999999999998, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
52;0.8;0.3;0.45;[0.09999999999999998, 0.6, 0.45, 0.6, 0.45, 0.45, 0.45, 0.45]
53;0.8;0.4;0.4000000000000001;[0.19999999999999996, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
54;0.8;0.5;0.35;[0.19999999999999996, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35]
55;0.7000000000000001;0.3;0.45;[0.19999999999999996, 0.6, 0.45, 0.6, 0.45, 0.45, 0.45]
56;0.7000000000000001;0.4;0.3;[0.29999999999999993, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.3]
57;0.7000000000000001;0.5;0.35;[0.29999999999999993, 0.7999999999999999, 0.7999999999999999, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35]
58;0.6000000000000001;0.3;0.45;[0.29999999999999993, 0.6, 0.45, 0.6, 0.45, 0.45, 0.45]
