ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
153;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
154;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
155;0.4;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
156;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
157;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
158;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
159;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
160;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
161;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
162;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
163;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
164;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
165;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
166;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
167;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
168;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
169;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
170;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
171;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
172;0.3;0.8;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
173;0.4;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
174;0.5;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
175;0.3;0.7000000000000001;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
176;0.4;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
177;0.5;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
178;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
179;0.4;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
180;0.5;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
1;0.9;0.3;0.4000000000000001;[1.0, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
2;0.9;0.4;0.4000000000000001;[0.09999999999999998, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
3;0.9;0.5;0.4000000000000001;[0.09999999999999998, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
4;0.8;0.3;0.4000000000000001;[0.09999999999999998, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
5;0.8;0.4;0.4000000000000001;[0.19999999999999996, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
6;0.8;0.5;0.4000000000000001;[0.19999999999999996, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
7;0.7000000000000001;0.3;0.4000000000000001;[0.19999999999999996, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
8;0.7000000000000001;0.4;0.4000000000000001;[0.29999999999999993, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
9;0.7000000000000001;0.5;0.35;[0.29999999999999993, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35]
10;0.6000000000000001;0.3;0.4000000000000001;[0.29999999999999993, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
11;0.6000000000000001;0.4;0.3;[0.3999999999999999, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.3]
12;0.6000000000000001;0.5;0.35;[0.3999999999999999, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
13;0.9;0.3;0.4000000000000001;[1.0, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001]
14;0.9;0.4;0.4000000000000001;[0.09999999999999998, 0.75, 0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
